Course_Code,Session_Code,Course_Name,Credits,Term,Enrolled_Seats,Total_Seats,Waitlist,Weekdays,Class_Times,Locations,Instructors,Teaching_Mode,Start_Date,End_Date,First_Term,Scraped_DateTime
PF-521*Advanced,PF*521-E1FF,PF-521 Advanced Learning Strategies,0,Fall 2025,0,20,0,"Tuesday, Thursday","10:00 AM - 12:00 PM, 10:00 AM - 12:00 PM",Frasch Hall 414,Michael Klingler,Face-to-Face,8/19/2025,9/25/2025,Yes,2025-07-15T13:04:34.452924-05:00
DATA-610*Big,DATA*610-U1FF,DATA-610 Big Data Analytics/Data Mining,4,Fall 2025,6,22,0,"Monday, Wednesday","1:00 PM - 3:00 PM, 10:00 AM - 12:00 PM","Frasch Hall 422, Internet Class WWW TBD Blended - ONL / LEC Jiang Li ( Blended - ONL / LEC ) W 10:00 AM - 12:00 PM TBD 8/18/2025 - 11/8/2025 Downtown, Hall 422",Jiang Li,Face-to-Face,8/18/2025,11/8/2025,No,2025-07-15T13:04:34.452924-05:00
DATA-630*Applied,DATA*630-U1FF,DATA-630 Applied Database Management,4,Fall 2025,3,22,0,"Monday, Thursday","10:00 AM - 12:00 PM, 1:00 PM - 3:00 PM","Frasch Hall 422, Internet Class WWW TBD Blended - ONL / LEC Rickie Kidwell ( Blended - ONL / LEC ) Gayle DeGennaro ( Blended - ONL / LEC ) Th 1:00 PM - 3:00 PM TBD 8/18/2025 - 11/8/2025 Downtown, Hall 422","Rickie Kidwell, Gayle DeGennaro",Face-to-Face,8/18/2025,11/8/2025,Yes,2025-07-15T13:04:34.452924-05:00
MATH-601*Introduction,MATH*601-Q1FF,MATH-601 Introduction to Analytics,4,Fall 2025,16,22,0,Thursday,3:00 PM - 5:00 PM,Frasch Hall 412,John Fulton,Face-to-Face,9/29/2025,12/20/2025,Yes,2025-07-15T13:04:34.452924-05:00
BUSA-603*Marketing,BUSA*603-F1FF,BUSA-603 Marketing Mgmt & Analytics,4,Fall 2025,10,22,0,Wednesday,1:00 PM - 3:00 PM,Frasch Hall 417,TBD,Face-to-Face,9/29/2025,11/8/2025,No,2025-07-15T13:04:34.452924-05:00
BUSA-695*Capstone,BUSA*695-H1FF,BUSA-695 Capstone in Business Analytics,4,Fall 2025,4,22,0,"Monday, Wednesday","1:00 PM - 3:00 PM, 1:00 PM - 3:00 PM","Frasch Hall 422, Internet Class WWW TBD Blended - ONL / LEC W 1:00 PM - 3:00 PM TBD 11/10/2025 - 12/20/2025 Downtown, Hall 422",TBD,Face-to-Face,11/10/2025,12/20/2025,No,2025-07-15T13:04:34.452924-05:00
COMP-511*Foundation,COMP*511-U1FF,COMP-511 Foundation Data Struc & Obj Or,4,Fall 2025,4,22,0,Thursday,3:00 PM - 5:00 PM,Frasch Hall 417,TBD,Face-to-Face,8/18/2025,11/8/2025,Yes,2025-07-15T13:04:34.452924-05:00
COMP-620*Analysis,COMP*620-R1FF,COMP-620 Analysis of Algorithms,4,Fall 2025,5,22,0,Wednesday,3:00 PM - 5:00 PM,Frasch Hall 412,TBD,Face-to-Face,9/8/2025,11/29/2025,No,2025-07-15T13:04:34.452924-05:00
COMP-630*Issues/Database,COMP*630-U1FF,COMP-630 Issues/Database Management,4,Fall 2025,0,22,0,"Tuesday, Thursday","6:00 PM - 7:30 PM, 10:00 AM - 12:00 PM","Frasch Hall 422, Internet Class WWW TBD Blended - ONL / LEC Th 10:00 AM - 12:00 PM TBD 8/18/2025 - 11/8/2025 Downtown, Hall 422",TBD,Face-to-Face,8/18/2025,11/8/2025,Yes,2025-07-15T13:04:34.452924-05:00
COMP-691*Capstone,COMP*691-Q1FF,COMP-691 Capstone,4,Fall 2025,11,22,0,Wednesday,10:00 AM - 12:00 PM,Frasch Hall 420,TBD,Face-to-Face,9/29/2025,12/20/2025,No,2025-07-15T13:04:34.452924-05:00
COMP-611*Adv,COMP*611-U1FF,COMP-611 Adv Data Structure and Program,4,Fall 2025,10,45,0,Thursday,6:00 PM - 9:40 PM,Frasch Hall 412,TBD,Face-to-Face,8/18/2025,11/8/2025,Yes,2025-07-15T13:04:34.452924-05:00
