Course_Code,Session_Code,Course_Name,Credits,Term,Enrolled_Seats,Available_Seats,Total_Seats,Waitlist,Weekdays,Class_Times,Locations,Instructors,Teaching_Mode,Start_Date,End_Date,First_Term,Scraped_DateTime
PF-521*Advanced,PF*521-E1FF,PF-521 Advanced Learning Strategies,0,Fall 2025,0,20,20,0,TBD,TBD,"Downtown,TBDFace-To-Face",Seats,Face-to-Face,8/18/2025,9/27/2025,Yes,2025-06-04T22:28:17.597334
PF-521*Advanced,PF*521-E2FF,PF-521 Advanced Learning Strategies,0,Fall 2025,0,20,20,0,TBD,TBD,"Downtown,TBDFace-To-Face",Seats,Face-to-Face,8/18/2025,9/27/2025,Yes,2025-06-04T22:28:17.597334
PF-521*Advanced,PF*521-E3FF,PF-521 Advanced Learning Strategies,0,Fall 2025,0,20,20,0,TBD,TBD,"Downtown,TBDFace-To-Face",Seats,Face-to-Face,8/18/2025,9/27/2025,Yes,2025-06-04T22:28:17.597334
PF-521*Advanced,PF*521-E4FF,PF-521 Advanced Learning Strategies,0,Fall 2025,0,20,20,0,TBD,TBD,"Downtown,TBDFace-To-Face",Seats,Face-to-Face,8/18/2025,9/27/2025,Yes,2025-06-04T22:28:17.597334
PF-521*Advanced,PF*521-E5FF,PF-521 Advanced Learning Strategies,0,Fall 2025,0,20,20,0,TBD,TBD,"Downtown,TBDFace-To-Face",Seats,Face-to-Face,8/18/2025,9/27/2025,Yes,2025-06-04T22:28:17.597334
DATA-610*Big,DATA*610-U1FF,DATA-610 Big Data Analytics/Data Mining,4,Fall 2025,0,22,22,0,TBD,TBD,"Downtown,TBDFace-To-Face",Seats,Face-to-Face,8/18/2025,11/8/2025,No,2025-06-04T22:28:17.597334
DATA-610*Big,DATA*610-U2FF,DATA-610 Big Data Analytics/Data Mining,4,Fall 2025,0,22,22,0,TBD,TBD,"Downtown,TBDFace-To-Face",Seats,Face-to-Face,8/18/2025,11/8/2025,No,2025-06-04T22:28:17.597334
DATA-610*Big,DATA*610-U3FF,DATA-610 Big Data Analytics/Data Mining,4,Fall 2025,0,22,22,0,TBD,TBD,"Downtown,TBDFace-To-Face",Seats,Face-to-Face,8/18/2025,11/8/2025,No,2025-06-04T22:28:17.597334
DATA-610*Big,DATA*610-U4FF,DATA-610 Big Data Analytics/Data Mining,4,Fall 2025,0,22,22,0,TBD,TBD,"Downtown,TBDFace-To-Face",Seats,Face-to-Face,8/18/2025,11/8/2025,No,2025-06-04T22:28:17.597334
DATA-630*Applied,DATA*630-U1FF,DATA-630 Applied Database Management,4,Fall 2025,0,22,22,0,TBD,TBD,"Downtown,TBDFace-To-Face",Seats,Face-to-Face,8/18/2025,11/8/2025,Yes,2025-06-04T22:28:17.597334
